calibdensity_B41	depth_calibdensity_B41
	0
	0.0001480385
	0.000296077
	0.0004441155
	0.000592154
	0.0007401924
	0.0008882309
	0.001036269
	0.001184308
	0.001332346
	0.001480385
	0.001628423
	0.001776462
	0.0019245
	0.002072539
	0.002220577
	0.002368616
	0.002516654
	0.002664693
	0.002812731
	0.00296077
	0.003108808
	0.003256847
	0.003404885
	0.003552924
	0.003700962
	0.003849001
	0.003997039
	0.004145078
	0.004293116
	0.004441155
	0.004589193
	0.004737232
	0.00488527
	0.005033309
	0.005181347
	0.005329386
	0.005477424
	0.005625463
	0.005773501
	0.005921539
	0.006069578
	0.006217617
	0.006365655
	0.006513693
	0.006661732
	0.006809771
	0.006957809
	0.007105847
	0.007253886
	0.007401925
	0.007549963
	0.007698001
	0.00784604
	0.007994078
	0.008142117
	0.008290156
	0.008438194
	0.008586233
	0.008734271
	0.008882309
	0.009030348
	0.009178386
	0.009326424
	0.009474464
	0.009622502
	0.009770541
	0.009918579
	0.01006662
	0.01021466
	0.01036269
	0.01051073
	0.01065877
	0.01080681
	0.01095485
	0.01110289
	0.01125093
	0.01139896
	0.011547
	0.01169504
	0.01184308
	0.01199112
	0.01213916
	0.01228719
	0.01243523
	0.01258327
	0.01273131
	0.01287935
	0.01302739
	0.01317543
	0.01332346
	0.0134715
	0.01361954
	0.01376758
	0.01391562
	0.01406366
	0.01421169
	0.01435973
	0.01450777
	0.01465581
	0.01480385
	0.01495189
	0.01509993
	0.01524796
	0.015396
	0.01554404
	0.01569208
	0.01584012
	0.01598816
	0.0161362
	0.01628423
	0.01643227
	0.01658031
	0.01672835
	0.01687639
	0.01702443
	0.01717247
	0.0173205
0.4778324	0.01746854
0.4783922	0.01761658
0.4763631	0.01776462
0.4753601	0.01791266
0.4758032	0.0180607
0.4742406	0.01820873
0.4756866	0.01835677
0.4781356	0.01850481
0.4787187	0.01865285
0.4798616	0.01880089
0.479675	0.01894893
0.4801415	0.01909696
0.4731444	0.019245
0.478952	0.01939304
0.4811677	0.01954108
0.4785554	0.01968912
0.4762464	0.01983716
0.4769928	0.0199852
0.4750336	0.02013323
0.4763164	0.02028127
0.471745	0.02042931
0.4726079	0.02057735
0.472468	0.02072539
0.4685496	0.02087343
0.4673367	0.02102146
0.4629753	0.0211695
0.4692493	0.02131754
0.4655175	0.02146558
0.4644213	0.02161362
0.4617391	0.02176166
0.4663572	0.0219097
0.463465	0.02205773
0.463535	0.02220577
0.4606195	0.02235381
0.461879	0.02250185
0.4608761	0.02264989
0.4575175	0.02279793
0.4570976	0.02294597
0.4569344	0.023094
0.4541122	0.02324204
0.4556516	0.02339008
0.4516166	0.02353812
0.4511035	0.02368616
0.4512901	0.0238342
0.4501939	0.02398224
0.450497	0.02413027
0.4557682	0.02427831
0.4542288	0.02442635
0.4541122	0.02457439
0.4544154	0.02472243
0.4534358	0.02487047
0.4554883	0.0250185
0.4536224	0.02516654
0.4543222	0.02531458
0.4521997	0.02546262
0.4528761	0.02561066
0.4460422	0.0257587
0.4474183	0.02590674
0.450637	0.02605477
0.4525962	0.02620281
0.4479548	0.02635085
0.4457157	0.02649889
0.446532	0.02664693
0.4476516	0.02679497
0.4463221	0.02694301
0.4456224	0.02709104
0.4462755	0.02723908
0.4497507	0.02738712
0.4446661	0.02753516
0.4451559	0.0276832
0.4466253	0.02783124
0.4456457	0.02797928
0.4450626	0.02812731
0.4457857	0.02827535
0.4455991	0.02842339
0.448118	0.02857143
0.445879	0.02871947
0.4478615	0.02886751
0.4468352	0.02901554
0.4490044	0.02916358
0.4479548	0.02931162
0.4499839	0.02945966
0.4523863	0.0296077
0.4525029	0.02975574
0.4554883	0.02990378
0.4533192	0.03005181
0.4558615	0.03019985
0.4573076	0.03034789
0.4584271	0.03049593
0.4607828	0.03064397
0.4599198	0.03079201
0.462019	0.03094004
0.4661239	0.03108808
0.458777	0.03123612
0.4587303	0.03138416
0.4638849	0.0315322
0.4627886	0.03168024
0.464981	0.03182828
0.4627886	0.03197631
0.4674067	0.03212435
0.4611327	0.03227239
0.4590335	0.03242043
0.463605	0.03256847
0.463465	0.03271651
0.463605	0.03286454
0.4601764	0.03301258
0.4593834	0.03316062
0.4595233	0.03330866
0.4588003	0.0334567
0.4583805	0.03360474
0.4593834	0.03375278
0.4575175	0.03390082
0.4553484	0.03404885
0.4573076	0.03419689
0.4551618	0.03434493
0.4548586	0.03449297
0.4565379	0.03464101
0.456328	0.03478904
0.4535525	0.03493708
0.4535991	0.03508512
0.4535525	0.03523316
0.4467186	0.0353812
0.4507536	0.03552924
0.453016	0.03567728
0.4516399	0.03582532
0.4486312	0.03597335
0.4493775	0.03612139
0.449774	0.03626943
0.45136	0.03641747
0.4483979	0.03656551
0.4505903	0.03671354
0.4480014	0.03686158
0.450777	0.03700962
0.4548819	0.03715766
0.4538557	0.0373057
0.4552551	0.03745374
0.45143	0.03760178
0.4518032	0.03774982
0.4547186	0.03789786
0.4549752	0.03804589
0.4553717	0.03819393
0.4475816	0.03834197
0.4497041	0.03849001
0.4544154	0.03863804
0.4509402	0.03878608
0.4526895	0.03893412
0.4536457	0.03908216
0.4524329	0.0392302
0.4508236	0.03937824
0.4538557	0.03952628
0.4542988	0.03967432
0.4536691	0.03982235
0.4494008	0.03997039
0.4475583	0.04011843
0.4525029	0.04026647
0.4554417	0.04041451
0.4550918	0.04056255
0.4499839	0.04071058
0.4483513	0.04085862
0.4527128	0.04100666
0.4509402	0.0411547
0.4493075	0.04130274
0.4522463	0.04145078
0.4530393	0.04159882
0.4471384	0.04174685
0.4475816	0.04189489
0.4478382	0.04204293
0.4476982	0.04219097
0.4467419	0.04233901
0.4459489	0.04248705
0.4464154	0.04263509
0.4473017	0.04278312
0.4433134	0.04293116
0.447395	0.0430792
0.4463921	0.04322724
